id,track_name,track_artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2qtVDOZ5eAbZWSpSHp7EyG,Your Mama Don't Dance,Poison,rock,0.496,0.935,1.0,-2.58,1.0,0.0679,0.00701,0.0,0.215,0.8009999999999999,150.061,181067.0,4.0
2ouuCTFyeTU8WEZ5WNH7BX,Sunday Bloody Sunday,U2,rock,0.5429999999999999,0.9640000000000001,6.0,-5.687,1.0,0.0515,0.41100000000000003,0.00205,0.047,0.777,100.456,279493.0,4.0
7jWIszxx1eHE3mv30n0Kpt,Country Comforts - BBC Radio 1 Performance/1970,Rod Stewart,rock,0.524,0.561,0.0,-6.38,1.0,0.0278,0.40299999999999997,0.000129,0.09,0.35600000000000004,104.64200000000001,362360.0,4.0
570g0E93XPrX0BNRJFhRe8,Intuition - Remastered 2010,John Lennon,rock,0.7709999999999999,0.5720000000000001,2.0,-9.837,1.0,0.0682,0.218,0.0404,0.303,0.903,118.863,190907.0,4.0
55LoB5vRwt2543GHbpJkw3,Folsom Prison Blues,Brandi Carlile,rock,0.48700000000000004,0.9520000000000001,6.0,-5.526,1.0,0.0598,0.259,0.0168,0.9790000000000001,0.28800000000000003,111.307,232120.0,4.0
4bAQzjDk9ONZ8gvm5YKEGE,Dyers Eve (Remastered),Metallica,rock,0.40399999999999997,0.948,6.0,-7.252000000000001,0.0,0.0604,1.92e-05,0.0405,0.0773,0.701,96.789,313045.0,4.0
3AHkKMY0DEWqIwfsx514fs,Uncle Joe - 1990 Digital Remaster,Gregory Isaacs,rock,0.9390000000000001,0.3,7.0,-15.265999999999998,1.0,0.204,0.00037400000000000004,9.31e-06,0.0643,0.872,120.71700000000001,229000.0,4.0
49OuJvRUrkfVbu4NIUxPdb,Crumbling Land (Take 1) - Zabriskie Point,Pink Floyd,rock,0.39899999999999997,0.46799999999999997,2.0,-12.421,1.0,0.0312,0.502,9.64e-06,0.0926,0.36700000000000005,115.714,248853.0,4.0
6l7RAW0pgGD1YZdb2Dg9yi,PREY FOR ME/3,FEVER 333,rock,0.36200000000000004,0.946,8.0,-3.5460000000000003,1.0,0.298,0.0154,0.0,0.174,0.42,130.076,311467.0,4.0
49FjDFVOpEF1mi99I5Ts5q,Duele El Amor - Versión 80’s Techno,Aleks Syntek,rock,0.725,0.758,6.0,-7.218999999999999,0.0,0.044000000000000004,0.0917,0.00328,0.345,0.7040000000000001,129.994,288067.0,4.0
4cVHMHgmWgudD399ZdhQ3L,Let's Dance - 2002 Remaster,David Bowie,rock,0.654,0.6409999999999999,8.0,-9.771,1.0,0.0482,0.00535,0.00321,0.209,0.794,114.696,247600.0,4.0
0LkDzYzNxLDU76KrFnudSu,Thanks for the Dance,Leonard Cohen,rock,0.466,0.0546,3.0,-21.535,1.0,0.0393,0.903,0.000624,0.0937,0.304,110.564,253493.0,3.0
